webpage,rating,tweet,uid,scores.lda_cossim,scores.language_model,tweet_length,chars,isverified,followers_count,statuses_count,listed_count,friends_count,times.absolute_time_difference,times.relative_time_difference,times.binary_decision,times.capped_time_after,contains_url,url_count,hashtag_count
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae153700323226c58dda47","9d446b2940cf44b184cbc8f3fe05e376",0.0,-9999999.0,14.0,127.0,false,13296.0,1517.0,220.0,13098.0,1397389000.0,1397389000.0,1.0,1397389000.0,false,1.0,2.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ade5df00323226c491406d","9d446b2940cf44b184cbc8f3fe05e376",0.7162953197676947,-9999999.0,14.0,136.0,false,211.0,36837.0,23.0,85.0,780856000.0,-780856000.0,-1.0,0.0,false,1.0,1.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",1,"52adf93d00323226c4f9574b","9d446b2940cf44b184cbc8f3fe05e376",0.4991926675168801,-9999999.0,16.0,136.0,false,58.0,1246.0,0.0,139.0,57624000.0,57624000.0,1.0,57624000.0,false,1.0,1.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52adf3bd00323226c4df55b5","9d446b2940cf44b184cbc8f3fe05e376",0.0,-9999999.0,13.0,127.0,false,1853.0,7601.0,108.0,332.0,152224000.0,-152224000.0,-1.0,0.0,false,1.0,1.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae12d400323226c5819554","9d446b2940cf44b184cbc8f3fe05e376",0.6348095924961165,-9999999.0,16.0,142.0,false,2503.0,13983.0,104.0,413.0,1309067000.0,1309067000.0,1.0,1309067000.0,false,1.0,4.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",1,"52adf87500323226c4f438e5","9d446b2940cf44b184cbc8f3fe05e376",0.4398765865565776,-9999999.0,7.0,74.0,false,42.0,342.0,0.0,156.0,19252000.0,19252000.0,1.0,19252000.0,false,1.0,1.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae42b400323226c669b310","9d446b2940cf44b184cbc8f3fe05e376",0.7517846709829005,-9999999.0,11.0,139.0,false,971.0,1509.0,105.0,46.0,3126731000.0,3126731000.0,1.0,3126731000.0,false,1.0,1.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae4d7300323226c6a1eb02","9d446b2940cf44b184cbc8f3fe05e376",0.0,-9999999.0,13.0,140.0,false,2331.0,34578.0,2.0,2628.0,3552309000.0,3552309000.0,1.0,3552309000.0,false,1.0,1.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",1,"52adf8bb00323226c4f61500","9d446b2940cf44b184cbc8f3fe05e376",0.4216772609419515,-9999999.0,11.0,116.0,false,445.0,13308.0,9.0,238.0,33278000.0,33278000.0,1.0,33278000.0,false,1.0,2.0
"http://www.bbc.co.uk/news/science-environment-23947820#sa-ns_mchannel=rss&ns_source=PublicRSS20-sa",-1,"52ae092f00323226c54bc280","9d446b2940cf44b184cbc8f3fe05e376",0.4822338782666064,-9999999.0,14.0,140.0,false,1247.0,127602.0,74.0,1153.0,716613000.0,716613000.0,1.0,716613000.0,false,1.0,2.0
