@RELATION ratings
@ATTRIBUTE lda_cossim real
@ATTRIBUTE language_model real
@ATTRIBUTE text_overlap_plus_normalized_follower_count real
@ATTRIBUTE rating {yes,no}
@DATA
14,1,25,no
7,7,14,yes
19,28,6,no
26,29,4,no
24,23,10,no
21,21,7,no
15,14,15,yes
12,22,18,no
29,10,12,no
18,5,19,yes
1,17,21,no
20,26,9,no
30,27,17,no
16,2,1,yes
11,16,20,yes
28,11,11,no
3,6,24,no
27,30,5,no
4,9,23,yes
23,25,8,no
17,4,13,no
6,20,30,yes
22,18,3,no
25,24,2,no
5,15,28,yes
2,13,27,yes
8,8,16,yes
10,19,29,no
13,3,22,yes
9,12,26,no
26,6,11,yes
23,19,2,no
6,1,7,yes
20,13,25,no
25,9,21,yes
10,14,23,yes
12,26,10,no
24,10,26,no
9,3,14,yes
15,24,18,no
3,7,13,yes
17,25,19,no
16,16,1,no
8,15,24,yes
1,8,16,yes
13,17,3,no
21,21,6,no
2,5,5,yes
22,20,9,yes
5,4,15,yes
18,22,17,no
11,2,8,yes
19,23,20,no
7,12,22,yes
14,18,4,no
4,11,12,yes
6,22,14,yes
5,29,26,yes
1,11,24,yes
17,6,25,yes
19,7,7,yes
30,18,12,no
20,10,4,no
12,4,19,yes
15,19,1,no
4,23,27,no
8,17,22,yes
27,27,3,no
24,2,6,yes
10,5,16,yes
26,12,9,no
29,20,11,no
7,9,23,no
2,21,15,no
3,30,28,no
9,3,17,yes
18,25,30,no
28,26,5,no
11,1,18,yes
13,14,20,yes
14,13,10,no
25,8,8,no
23,28,2,no
22,15,29,yes
16,16,21,yes
21,24,13,no
16,5,10,no
2,16,18,no
18,13,14,no
13,17,5,no
11,11,1,no
12,7,4,no
14,15,6,no
10,19,2,no
4,10,19,no
1,14,17,no
8,1,15,yes
7,2,11,no
3,4,3,no
9,18,7,no
5,3,9,no
6,8,12,no
15,6,8,no
17,12,13,no
19,9,16,no
9,29,18,yes
14,11,27,yes
3,10,16,yes
16,5,13,yes
13,19,24,yes
23,28,11,no
22,3,23,yes
27,21,9,no
6,7,4,yes
10,17,19,yes
29,23,6,no
25,22,8,no
19,13,26,yes
11,16,20,yes
28,18,1,no
24,27,10,no
18,14,29,yes
8,2,14,yes
15,4,12,yes
1,25,21,no
21,15,3,yes
12,8,22,yes
26,26,7,no
7,1,2,yes
5,24,15,no
2,20,28,yes
20,6,5,yes
4,9,17,yes
17,12,25,yes
18,7,7,no
30,5,23,no
19,11,22,no
23,9,12,no
8,25,20,no
27,26,5,no
5,22,14,no
4,27,28,no
22,13,1,no
16,23,9,no
21,14,4,no
2,19,16,no
7,20,30,no
14,4,18,yes
17,2,29,no
12,1,21,no
15,24,11,no
29,21,3,no
3,28,15,no
13,17,8,no
28,15,2,no
9,29,17,no
6,12,19,no
10,16,24,no
24,18,26,no
1,30,27,no
25,10,6,no
11,6,10,no
26,3,25,no
20,8,13,no
13,16,7,no
3,8,10,no
6,1,1,yes
5,2,2,yes
17,12,17,no
9,4,13,no
7,3,3,yes
2,10,9,no
8,13,16,no
14,11,8,no
1,9,4,no
15,17,11,no
10,7,14,no
12,6,6,no
16,15,12,no
11,14,5,no
4,5,15,no
6,5,21,yes
22,9,1,no
7,3,11,yes
27,19,24,no
13,27,27,no
26,29,19,no
17,26,8,no
23,10,4,no
10,25,18,no
12,15,26,no
14,17,14,no
2,6,12,yes
3,7,7,yes
8,1,13,yes
15,18,20,no
21,13,5,no
4,4,6,yes
24,22,16,no
29,21,29,no
20,12,2,no
19,23,15,no
28,16,28,no
1,28,22,no
5,8,9,no
18,20,25,no
11,14,3,no
9,2,10,yes
25,11,17,no
16,24,23,no
2,3,8,yes
19,22,13,no
4,24,9,no
25,13,21,no
24,15,20,no
9,16,22,no
6,2,15,no
18,25,12,no
11,5,7,no
17,26,10,no
16,21,6,no
5,20,11,no
1,17,1,yes
12,9,2,no
22,6,18,no
26,8,23,no
21,7,17,no
8,19,24,no
3,11,26,no
15,23,5,no
27,18,25,no
14,27,3,no
7,14,27,no
13,12,4,no
23,10,19,no
